title,price_gbp,availability,source_page,scraped_at_utc
A Light in the ...,51.77,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Tipping the Velvet,53.74,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Soumission,50.10,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Sharp Objects,47.82,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Sapiens: A Brief History ...,54.23,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
The Requiem Red,22.65,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
The Dirty Little Secrets ...,33.34,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
The Coming Woman: A ...,17.93,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
The Boys in the ...,22.60,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
The Black Maria,52.15,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Starving Hearts (Triangular Trade ...,13.99,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Shakespeare's Sonnets,20.66,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Set Me Free,17.46,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Scott Pilgrim's Precious Little ...,52.29,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Rip it Up and ...,35.02,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Our Band Could Be ...,57.25,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Olio,23.88,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Mesaerion: The Best Science ...,37.59,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
Libertarianism for Beginners,51.33,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
It's Only the Himalayas,45.17,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-08-30T06:16:00+00:00
In Her Wake,12.84,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
How Music Works,37.32,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Foolproof Preserving: A Guide ...,30.52,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Chase Me (Paris Nights ...,25.27,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Black Dust,34.53,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Birdsong: A Story in ...,54.64,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
America's Cradle of Quarterbacks: ...,22.50,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Aladdin and His Wonderful ...,53.13,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Worlds Elsewhere: Journeys Around ...,40.30,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Wall and Piece,44.18,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
The Four Agreements: A ...,17.66,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
The Five Love Languages: ...,31.05,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
The Elephant Tree,23.82,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
The Bear and the ...,36.89,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Sophie's World,15.94,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Penny Maybe,33.29,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Maude (1883-1993):She Grew Up ...,18.02,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
"In a Dark, Dark ...",19.63,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
Behind Closed Doors,52.22,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
You can't bury them ...,33.63,In stock,https://books.toscrape.com/catalogue/page-2.html,2026-08-30T06:16:00+00:00
